,user_id,item_id,rating,timestamp
0,524,414,4,884635136
1,429,92,4,882385684
2,505,172,3,889334129
3,13,761,4,882398076
4,205,984,1,888284710
5,316,582,5,880854539
6,495,132,4,888632916
7,843,158,2,879449336
8,416,98,5,893213644
9,573,685,3,885843779
10,493,475,3,884130495
11,848,519,5,887037980
12,292,659,5,881105340
13,64,451,2,889739490
14,305,690,4,886307828
15,606,156,4,880924789
16,711,317,4,879993173
17,788,742,3,880869508
18,727,433,5,883710994
19,247,271,2,893081411
20,693,591,3,875482779
21,629,269,3,880115840
22,924,429,4,886760020
23,178,500,4,882827288
24,92,778,4,875811457
25,674,313,5,887762296
26,114,659,4,881259495
27,605,754,3,879425457
28,551,288,4,892775466
29,489,678,4,891366693
30,747,501,5,888639362
31,301,496,5,882075743
32,296,198,5,884197264
33,81,726,4,876534505
34,835,174,5,891033623
35,927,412,1,879182833
36,385,1066,4,879446591
37,159,25,5,880557112
38,114,527,3,881309586
39,167,641,4,892738341
40,830,435,5,891561737
41,275,380,3,876198328
42,632,100,3,879457603
43,347,246,4,881652417
44,532,990,3,875511963
45,301,90,3,882078360
46,620,148,3,889987299
47,367,185,5,876689991
48,655,1045,3,887427473
49,864,286,5,890463283
50,255,678,2,883215795
51,283,42,5,879298333
52,709,1,4,879847730
53,943,1067,2,875501756
54,108,740,3,879880055
55,327,108,3,887819614
56,764,71,5,876429672
57,280,315,5,891700184
58,916,50,5,880843436
59,557,269,3,881179139
60,894,472,3,880993730
61,634,1335,2,877017975
62,230,496,5,880484501
63,62,97,2,879373795
64,476,1180,3,883365336
65,637,274,5,882904065
66,305,478,3,886323275
67,46,327,4,883611456
68,707,747,3,886287900
69,394,546,4,881058167
70,24,58,3,875323745
71,297,154,5,875239658
72,311,796,3,884365889
73,450,566,4,882373928
74,535,466,3,879618385
75,711,91,4,879994413
76,234,50,4,892079237
77,254,174,5,886471720
78,245,473,2,888513344
79,683,880,3,893283641
80,126,322,3,887854777
81,401,515,4,891032367
82,452,143,3,885805093
83,437,79,4,880143855
84,890,133,5,882402518
85,269,432,4,891450005
86,532,218,5,889235367
87,456,1324,4,881371720
88,764,223,3,876244625
89,545,751,3,883115062
90,334,1202,4,891544680
91,272,175,5,879455043
92,314,939,4,877888060
93,268,238,3,875310352
94,472,234,4,875980081
95,917,278,3,882911767
96,276,568,4,882659211
97,264,208,5,886123415
98,407,50,4,875045268
99,249,405,3,879640284
100,561,550,1,885810117
101,466,679,3,890285159
102,686,172,4,879545181
103,354,744,4,891216656
104,201,340,5,884110887
105,806,45,4,882388159
106,766,810,2,891310620
107,151,956,4,879542567
108,63,276,4,875747265
109,339,530,5,891032413
110,691,1,5,875543346
111,864,200,4,888889162
112,291,214,4,874868146
113,322,92,4,887314073
114,562,197,4,879196105
115,84,151,4,883449993
116,559,259,3,891035407
117,198,343,3,884204666
118,795,172,3,880570209
119,642,64,5,885602482
120,82,822,2,878769262
121,315,79,4,879821349
122,222,278,2,877563913
123,416,121,5,893213645
124,828,547,2,891035864
125,757,684,4,888445864
126,454,614,3,888267590
127,542,746,4,886532838
128,345,732,4,884993418
129,637,741,1,882903644
130,586,229,3,884062742
131,495,357,5,888633277
132,933,186,4,874938563
133,276,916,4,892436298
134,314,941,3,877889971
135,611,346,5,891636152
136,342,150,3,874984531
137,727,808,2,883712245
138,184,20,4,889907771
139,378,508,4,880044278
140,650,135,4,891381545
141,150,278,2,878746889
142,279,380,4,889326161
143,521,754,3,885252562
144,110,566,4,886988574
145,881,140,2,876538098
146,75,117,4,884050164
147,354,473,3,891216498
148,542,734,3,886533303
149,896,212,2,887160582
150,691,318,5,875543281
151,207,174,4,877750843
152,747,663,5,888733111
153,698,174,3,886367337
154,184,766,3,889907738
155,521,1014,3,884476320
156,199,268,5,883782509
157,346,967,2,874948426
158,64,503,4,889740342
159,291,71,4,875086887
160,253,156,3,891628614
161,416,627,5,893213918
162,145,118,3,875270764
163,892,432,4,886610996
164,418,300,3,891282656
165,514,69,4,875309276
166,881,1540,1,876539091
167,337,250,3,875185219
168,152,778,3,882476683
169,298,483,5,884125441
